"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"Disk, NoError, EmulTrap";"Spasmolytic ? 199? Spaceballs.";"";"whdload";"0";"";"Spasmolytic";"912780";"S\Spasmolytic\Spasmolytic.slave";"";"S\Spasmolytic";"524288";"Spasmolytic";"OCS/ECS";"";"";"";"";"";"spasmolytic";"Exact";"100";"Pouet";"amiga demo";"5th";"Spaceballs";"s\spasmolytic-spaceballs";"demo";"Amega 1991";"http://content.pouet.net/files/screenshots/00000/00000260.jpg";"june 1991";"Spasmolytic";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=260";"spasmolytic spasmolytic spaceballs spasmolyticspaceballs"
"NoError, EmulTrap, ClearMem";"Spellcheck ? 1991 Andromeda.";"1991 Andromeda";"whdload";"0";"Spellcheck";"Spellcheck";"196895";"S\Spellcheck\Spellcheck.Slave";"0";"S\Spellcheck";"524288";"Spellcheck";"OCS/ECS";"";"";"";"";"";"spellcheck andromeda";"Exact";"100";"Pouet";"amiga demo";"n/a";"Andromeda";"s\spellcheck-andromeda";"intro";"The Party 1991";"http://content.pouet.net/files/screenshots/00014/00014450.png";"december 1991";"Spellcheck";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=14450";"spellcheck spellcheck andromeda spellcheckandromeda"
"NoError, EmulTrap, ClearMem";"Tuneshow IV - Spherical Dreams";"1990 The Acoustic Revolution";"whdload";"0";"Tuneshow IV - Spherical Dreams";"SphericalDreams";"920208";"S\SphericalDreams\SphericalDreams.Slave";"0";"S\SphericalDreams";"524288";"SphericalDreams";"OCS/ECS";"";"";"";"";"";"spherical dreams tuneshow 4 the acoustic revolution";"Best";"4.866434";"Pouet";"";"";"The Acoustic Revolution";"t\tuneshow-iv-spherical-dreams-the-acoustic-revolution";"musicdisk";"";"http://content.pouet.net/files/screenshots/00013/00013459.png";"february 1990";"Tuneshow IV (Spherical Dreams)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=13459";"tuneshow 4 spherical dreams tuneshow4sphericaldreams the acoustic revolution tuneshowivsphericaldreamstheacousticrevolution"
"NoError, EmulTrap, ClearMem";"Sploosh ? 1993 Anthrox.";"1993 Anthrox";"whdload";"0";"Sploosh";"Sploosh";"2724598";"S\Sploosh\Sploosh.Slave";"524288";"S\Sploosh";"524288";"Sploosh";"OCS/ECS";"";"";"";"";"";"sploosh anthrox";"Exact";"100";"Pouet";"";"";"Anthrox";"s\sploosh-anthrox";"musicdisk";"";"http://content.pouet.net/files/screenshots/00003/00003613.jpg";"april 1993";"Sploosh";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3613";"sploosh sploosh anthrox splooshanthrox"
"NoError, EmulTrap, ClearMem";"Sploosh 1.5 - Pond ? 1994 Anthrox.";"1994 Anthrox";"whdload";"0";"Sploosh 1.5 - Pond";"Sploosh15Pond";"1821281";"S\Sploosh15Pond\Sploosh15Pond.Slave";"524288";"S\Sploosh15Pond";"524288";"Sploosh15Pond";"OCS/ECS";"";"";"";"";"";"sploosh 15 pond 1 5 anthrox";"Best";"3.688835";"Pouet";"";"";"Anthrox";"p\pond-sploosh-15-anthrox";"musicdisk";"";"http://content.pouet.net/files/screenshots/00015/00015742.png";"1994";"p.o.n.d (sploosh 1.5)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15742";"pond sploosh 15 pondsploosh15 anthrox pondsploosh15anthrox"
"Disk, NoError";"Spring Melodies ? 1992 Anarchy (2 disks)";"1992 Anarchy";"whdload";"0";"Spring Melodies";"SpringMelodies";"1812824";"S\SpringMelodies\SpringMelodies.slave";"4096";"S\SpringMelodies";"1048576";"SpringMelodies";"OCS/ECS";"";"";"";"";"";"spring melodies anarchy";"Exact";"100";"Pouet";"none";"n/a";"Anarchy";"s\spring-melodies-anarchy";"musicdisk";"Eastern Conference 1992";"http://content.pouet.net/files/screenshots/00003/00003047.png";"april 1992";"Spring Melodies";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3047";"spring melodies springmelodies anarchy springmelodiesanarchy"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag1";"926144";"S\Stag1\Stag1.slave";"0";"S\Stag1";"524288";"Stag1";"OCS/ECS";"";"";"";"";"";"stag 1 series bnk";"Best";"3.055542";"Pouet";"";"";"BNK-Team";"s\stag-1-bnk-team";"slideshow";"";"http://content.pouet.net/files/screenshots/00023/00023179.jpg";"n/a";"Stag 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=23179";"stag 1 stag1 bnk team stag1bnkteam"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag2";"926144";"S\Stag2\Stag2.slave";"0";"S\Stag2";"524288";"Stag2";"OCS/ECS";"";"";"";"";"";"stag 2 the bnk team";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"The BNK Team";;"Slideshow";"";;"90";"Stag 2";;;"stag 2 stag2 the bnk team stag2thebnkteam"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag3";"926144";"S\Stag3\Stag3.slave";"0";"S\Stag3";"524288";"Stag3";"OCS/ECS";"";"";"";"";"";"stag 3 series bnk";"Best";"2.386603";"Pouet";"";"";"BNK-Team";"s\stag-3-bnk-team";"slideshow";"";"http://content.pouet.net/files/screenshots/00023/00023181.jpg";"n/a";"Stag 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=23181";"stag 3 stag3 bnk team stag3bnkteam"
"NoError, EmulTrap";"Stag Series by BnK (c) 19??.";"Bnk";"whdload";"0";"Stag Series";"Stag4";"926144";"S\Stag4\Stag4.slave";"0";"S\Stag4";"524288";"Stag4";"OCS/ECS";"";"";"";"";"";"stag 4 series bnk";"Best";"2.395601";"Pouet";"";"";"BNK-Team";"s\stag-4-bnk-team";"slideshow";"";"http://content.pouet.net/files/screenshots/00023/00023182.jpg";"n/a";"Stag 4";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=23182";"stag 4 stag4 bnk team stag4bnkteam"
