"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"Overload\Overload.Slave";"NoError, EmulTrap, ClearMem";"Overload ? 1993 Jetset.";"Overload";"1993 Jetset";"0";"O\Overload_v1.0_Jetset.lha";"Overload";"Overload";"0";"whdload";"524288";"923242";"Overload";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Overload2\Overload2.Slave";"NoError, EmulTrap, ClearMem";"Overload 2 ? 1993 Relay.";"Overload 2";"1993 Jetset";"0";"O\Overload2_v1.01_Jetset.lha";"Overload2";"Overload2";"0";"whdload";"524288";"924445";"Overload2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PackVanPee1\PackVanPee1.Slave";"NoError, EmulTrap, ClearMem";"Pack van Pee #1 ? 1992 Jetset.";"Pack van Pee #1";"1992 Jetset";"0";"P\PackVanPee1_v1.0_Jetset.lha";"PackVanPee1";"PackVanPee1";"0";"whdload";"524288";"484159";"PackVanPee1";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PackVanPee3\PackVanPee3.Slave";"NoError, EmulTrap, ClearMem";"Pack van Pee #3 ? 1992 Jetset.";"Pack van Pee #3";"1992 Jetset";"0";"P\PackVanPee3_v1.0_Jetset.lha";"PackVanPee3";"PackVanPee3";"0";"whdload";"524288";"445381";"PackVanPee3";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PanicVoicesOfEnergy\PanicVoicesOfEnergy.Slave";"NoError, EmulTrap, ClearMem";"Panic Voices Of Energy ?1991 Alcatraz";"Panic Voices Of Energy";"1991 Alcatraz";"4096";"P\PanicVoicesOfEnergy_v1.0_Alcatraz.lha";"PanicVoicesOfEnergy";"PanicVoicesOfEnergy";"0";"whdload";"524288";"890842";"PanicVoicesOfEnergy";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"ParalyticNoises\ParalyticNoises.Slave";"NoError, EmulTrap, ClearMem";"Paralytic Noises ? 1991 Inzzest.";"Paralytic Noises";"1991 Inzzest";"0";"P\ParalyticNoises_v1.0_Inzzest.lha";"ParalyticNoises";"ParalyticNoises";"0";"whdload";"524288";"919164";"ParalyticNoises";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Party2Slideshow\Party2Slideshow.Slave";"NoError, EmulTrap, ClearMem";"The Party 2 Slideshow ? 1993 Decnite.";"The Party 2 Slideshow";"1993 Decnite";"0";"P\Party2Slideshow_v1.0_Decnite.lha";"Party2Slideshow";"Party2Slideshow";"0";"whdload";"524288";"1820552";"Party2Slideshow";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PeaceInTheGulf\PeaceInTheGulf.slave";"NoError, EmulTrap, ClearMem";"Peace in the Gulf ? 1991 Animators.";"Peace In The Gulf";"1991 Animators";"0";"P\PeaceInTheGulf_v1.01_Animators.lha";"PeaceInTheGulf";"PeaceInTheGulf";"0";"whdload";"524288";"279271";"PeaceInTheGulf";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PinkCircle\PinkCircle.Slave";"NoError, EmulTrap, ClearMem";"The Pink Circle ? 1991 Arcane.";"The Pink Circle";"1991 Arcane";"0";"P\PinkCircle_v1.01_Arcane.lha";"PinkCircle";"PinkCircle";"0";"whdload";"524288";"240928";"PinkCircle";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"PixeledPleasures\PixeledPleasures.Slave";"Disk, NoError, EmulTrap, ClearMem";"Pixeled Pleasures ? 1991 Them.";"Pixeled Pleasures";"Them";"0";"P\PixeledPleasures_v1.0_Them.lha";"PixeledPleasures";"PixeledPleasures";"0";"whdload";"524288";"908933";"PixeledPleasures";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
