"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"AmericanGladiators\AmericanGladiators.slave";"NoError, EmulTrap, ClearMem";"American Gladiators ? 1992 GameTek.";"American Gladiators";"1992 GameTek";"0";"A\AmericanGladiators_v1.2.lha";"AmericanGladiators";"AmericanGladiators";"0";"whdload";"524288";"1716915";"AmericanGladiators";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AmericanTagTeamWrestling\AmericanTagTeamWrestling.Slave";"NoError, EmulTrap";"American Tag Team Wrestling by Zeppelin (c) 1992 - 1 disk.";"American Tag Team Wrestling";"1992 Zeppelin";"0";"A\AmericanTagTeamWrestling_v1.0_2211.lha";"AmericanTagTeamWrestling";"AmericanTagTeamWrestling";"0";"whdload";"524288";"912805";"AmericanTagTeamWrestling";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Anarchy\Anarchy.Slave";"NoError, EmulTrap";"Anarchy ? 1989 Psygnosis.";"Anarchy";"1989 Psygnosis";"0";"A\Anarchy_v1.5.lha";"Anarchy";"Anarchy";"0";"whdload";"524288";"981648";"Anarchy";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ApacheFlight\ApacheFlight.slave";"EmulTrap";"Apache Flight by Atlantis (c) 1992 - 1 disk.";"Apache Flight";"1992 Atlantis";"0";"A\ApacheFlight_v1.0.lha";"ApacheFlight";"ApacheFlight";"0";"whdload";"524288";"478297";"ApacheFlight";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"APB\APB.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"APB - All Points Bulletin ? 1989 Tengen.";"APB - All Points Bulletin";"1989 Tengen";"0";"A\APB_v1.2a_1240.lha";"APB";"APB";"0";"whdload";"524288";"709095";"APB";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ApidyaAudios\ApidyaAudios.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\Apidya_v2.05_Audios_2465.lha";"ApidyaAudios";"ApidyaAudios";"0";"whdload";"524288";"2154756";"ApidyaAudios";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ApidyaKaiko\ApidyaKaiko.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\Apidya_v2.05_Kaiko_0764.lha";"ApidyaKaiko";"ApidyaKaiko";"0";"whdload";"524288";"2154755";"ApidyaKaiko";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AppleHunt\AppleHunt.slave";"0";"Apple Hunt ? 19xx Ecthelion.";"Apple Hunt";"19xx Ecthelion";"0";"A\AppleHunt_v1.0.lha";"AppleHunt";"AppleHunt";"0";"whdload";"524288";"131297";"AppleHunt";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Apprentice\Apprentice.slave";"NoError, EmulTrap";"Rainbow Arts ? 1990 Rainbow Arts.";"Apprentice";"1990 Rainbow Arts";"4096";"A\Apprentice_v2.1_2288.lha";"Apprentice";"Apprentice";"0";"whdload";"524288";"1021772";"Apprentice";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Aquaventura\Aquaventura.Slave";"NoError, EmulTrap";"Aquaventura by Psygnosis (c) 1992 - 2 disks.";"Aquaventura";"1992 Psygnosis";"0";"A\Aquaventura_v1.3_0427.lha";"Aquaventura";"Aquaventura";"0";"whdload";"524288";"1973124";"Aquaventura";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AquaventuraNTSC\AquaventuraNTSC.Slave";"NoError, EmulTrap";"Aquaventura by Psygnosis (c) 1992 - 2 disks.";"Aquaventura";"1992 Psygnosis";"0";"A\Aquaventura_v1.3_NTSC_2330.lha";"AquaventuraNTSC";"AquaventuraNTSC";"0";"whdload";"524288";"1973137";"Aquaventura";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
