ArchiveFile;SlaveFile;SlaveOutputFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
MervTheMerciless.lha;merv.slave;MervTheMerciless.lha_merv.slave.txt;-+ Merv the Merciless +-;1989 Probe Software Ltd;316;13;Disk, NoError, EmulTrap;524288;0;46;0
MetalLaw.lha;MetalLaw\metallaw.slave;MetalLaw.lha_metallaw.slave.txt;;;620;4;Disk, NoError, EmulTrap;524288;0;5d;
MetalMasters.lha;MetalMastersHd\MetalMasters.Slave;MetalMasters.lha_MetalMasters.Slave.txt;Metal Masters;1990 Incal Product/Infogrames;1360;14;NoError, EmulPriv;524288;0;59;262144
MetalMasters.lha;MetalMastersHd\MetalMastersIntro.Slave;MetalMasters.lha_MetalMastersIntro.Slave.txt;Metal Masters Intro;1990 Incal Product/Infogrames;1376;14;NoError, EmulPriv;524288;0;59;262144
MetalMutant.lha;MetalMutantHd\MetalMutant.slave;MetalMutant.lha_MetalMutant.slave.txt;Metal Mutant ;1991 Silmarils;5864;17;NoError, EmulPriv, Examine;589824;0;59;262144
MetalWarrior.lha;MetalWarrior_Install\MetalWarrior.slave;MetalWarrior.lha_MetalWarrior.slave.txt;Metal Warrior;1994 Cadaver;4504;17;NoError, EmulPriv, Examine;524288;0;59;786432
MFTanks.lha;MFTanksHD\MFTanks.slave;MFTanks.lha_MFTanks.slave.txt;MF Tanks;1994 Magnetic Fields;740;10;NoError;524288;0;59;0
MiamiChase.lha;MiamiChaseHD\MiamiChase.slave;MiamiChase.lha_MiamiChase.slave.txt;Miami Chase;1990 Team 7;592;10;NoError, EmulTrap, NoKbd;524288;0;59;0
Mickey123.lha;Mickey123Hd\Mickey123.Slave;Mickey123.lha_Mickey123.Slave.txt;Mickey 123;1992 Disney Software/D.S.I./Infogrames.;4320;16;NoError, EmulPriv, Examine;1048576;0;59;262144
MickeyABC.lha;MickeyABCHd\MickeyABC.Slave;MickeyABC.lha_MickeyABC.Slave.txt;Mickey ABC;1992 Disney Software/D.S.I./Infogrames.;4368;16;NoError, EmulPriv, Examine;524288;0;59;786432
MickeyJigsawPuzzles.lha;MickeyJigsawPuzzmesHd\MickeyJigsawPuzzles.Slave;MickeyJigsawPuzzles.lha_MickeyJigsawPuzzles.Slave.txt;Mickey;1991 Disney Software/E.S.S/Novatrade/Infogrames.;4624;16;NoError, EmulPriv, Examine;524288;0;59;262144
MickeyMemoryChallenge.lha;MickeyMemoryChallengeHd\MickeyMemoryChallenge.Slave;MickeyMemoryChallenge.lha_MickeyMemoryChallenge.Slave.txt;Mickey Jeu de m?moire / Mickey;1993 Disney Software/Infogrames.;4208;16;NoError, EmulPriv, Examine;524288;0;59;786432
MickeyMouse.lha;MickeyMouseHD\MickeyMouse.slave;MickeyMouse.lha_MickeyMouse.slave.txt;Mickey Mouse;1988 Gremlin;1424;10;NoError, EmulTrap;524288;0;59;4096
Microbes.lha;MicrobesHD\Microbes.slave;Microbes.lha_Microbes.slave.txt;Microbes;1992 Vision;376;10;NoError;524288;0;5d;0
Micromachines.lha;MicromachinesHD\MicroMachines.slave;Micromachines.lha_MicroMachines.slave.txt;MicroMachines;1993 Codemasters;1440;11;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;0
MicroproseGolf.lha;MicroproseGolfHD\MicroproseGolf.slave;MicroproseGolf.lha_MicroproseGolf.slave.txt;Microprose Golf;1991 Microprose;4164;15;NoError, EmulPriv, Examine;524288;0;5d;786432
MicroproseSoccer.lha;MicroproseSoccer_Install\MicroproseSoccer.slave;MicroproseSoccer.lha_MicroproseSoccer.slave.txt;Microprose Soccer;1989 Microprose;2884;17;NoError, EmulTrap, ClearMem;524288;0;59;0
MidnightResistance.lha;MidnightResistance Inst\MidnightResistance.Slave;MidnightResistance.lha_MidnightResistance.Slave.txt;Midnight Resistance;1990 Ocean/Special FX;2768;17;NoError, EmulTrap;524288;0;59;0
Midwinter.lha;MidwinterHD\Midwinter.Slave;Midwinter.lha_Midwinter.Slave.txt;Midwinter;1990 Rainbird;860;11;NoError, EmulTrap, NoDivZero;528384;0;5a;0
Midwinter2.lha;Midwinter2HD\Midwinter2.slave;Midwinter2.lha_Midwinter2.slave.txt;Midwinter 2 - Flames of Freedom;1991 Maelstrom Games;2172;11;NoError, NoDivZero, EmulPriv;655360;0;5d;786432
MiG29Fulcrum.lha;Mig29Fulcrum_Install\Mig29Fulcrum.slave;MiG29Fulcrum.lha_Mig29Fulcrum.slave.txt;MiG-29 Fulcrum;1991 Domark;4948;17;NoError, EmulPriv, Examine;524288;0;59;786432
MiG29MSuperFulcrum.lha;Mig29SuperFulcrum_Install\MiG29MSuperFulcrum.slave;MiG29MSuperFulcrum.lha_MiG29MSuperFulcrum.slave.txt;MiG-29M Super Fulcrum;1991 Domark;5060;17;NoError, EmulPriv, Examine;524288;0;59;786432
Mig29SovietFighter.lha;Mig-29HD\Mig-29.slave;Mig29SovietFighter.lha_Mig-29.slave.txt;Mig-29 Soviet Fighter;1990 CodeMasters;992;10;NoError, EmulTrap;524288;0;59;0
MightAndMagic2.lha;MightAndMagic2_Install\mightandmagic2.slave;MightAndMagic2.lha_mightandmagic2.slave.txt;Might and Magic 2 - Gates to Another World.;1990 New World Computing.;4684;16;NoError, EmulPriv, Examine;417792;0;59;561152
MightAndMagic3.lha;MightAndMagic3 Install\MightAndMagic3.Slave;MightAndMagic3.lha_MightAndMagic3.Slave.txt;Might & Magic III;1991 New World Computing;5812;16;NoError, EmulPriv, Examine;524288;0;59;983040
MightyBombjack.lha;MightyBombjackHD\MightyBombjack.slave;MightyBombjack.lha_MightyBombjack.slave.txt;Mighty Bombjack;1990 Elite;1256;10;NoError, EmulTrap, NoKbd;524288;0;5d;0
MikeReadsPopQuiz.lha;MikeReadsPopQuizHD\MikeReadsPopQuiz.slave;MikeReadsPopQuiz.lha_MikeReadsPopQuiz.slave.txt;Mike Read;1988 Elite;984;13;NoError, EmulTrap, ClearMem;524288;0;5d;4096
MikroMortalTennis.lha;MikroMortalTennisHD\MikroMortalTennis.slave;MikroMortalTennis.lha_MikroMortalTennis.slave.txt;Mikro Mortal Tennis;1996 Skywards Software;4832;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;786432
