"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, ClearMem";"Psygnosis Musical Picture Disc #1 ?1989 Psygnosis&SRS";"1989 Psygnosis & S.R.S";"whdload";"0";"Psygnosis Musical Picture Disc #1";"PsygnosisMusicPictureDisc";"814300";"P\PsygnosisMusicPictureDisc\PsygnosisMusicPictureDis.Slave";"4096";"P\PsygnosisMusicPictureDisc";"524288";"PsygnosisMusicPictureDisc";"OCS/ECS";"";"";"";"";"";"psygnosis musical picture disc 1";"Exact";"100";"psygnosis-musical-picture-disc-1";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\psygnosis-musical-picture-disc-1\screen_001.png";"psygnosis-musical-picture-disc-1"
"NoError, EmulTrap, ClearMem";"Public Attack ? 1991 Cult.";"1991 Cult";"whdload";"0";"Public Attack";"PublicAttack";"256342";"P\PublicAttack\PublicAttack.Slave";"0";"P\PublicAttack";"524288";"PublicAttack";"OCS/ECS";"";"";"";"";"";"public attack cult";"Exact";"100";"public-attack-cult";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\public-attack-cult\screen.jpg";"public-attack-cult"
"Disk, NoError, EmulTrap";"Puggs in Space Demo (c) 198? Dionysus.";"198? Dionysus";"whdload";"0";"Puggs in Space";"PuggsInSpace";"927896";"P\PuggsInSpace\PuggsInSpace.Slave";"0";"P\PuggsInSpace";"524288";"PuggsInSpace";"OCS/ECS";"";"";"";"";"";"puggs in space 198 dionysus";"Best";"5.216739";"puggs-in-space-demo-dionysus";"C:\Work\First Realize\amiga-demo-database\jasdd\p\puggs-in-space-demo-dionysus\screen_001.png";"puggs-in-space-demo-dionysus"
"NoError, EmulTrap, ClearMem";"The Punisher ? 1992 Digital";"1992 Digital";"whdload";"0";"The Punisher";"Punisher";"925073";"P\Punisher\Punisher.Slave";"4096";"P\Punisher";"524288";"Punisher";"OCS/ECS";"";"";"";"";"";"punisher the digital";"Best";"4.354293";"the-punisher-digital";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-punisher-digital\screen_001.PNG";"the-punisher-digital"
"NoError, EmulTrap, ClearMem";"Purple ? 1990 The Warfalcons.";"1990 Warfalcons";"whdload";"0";"Purple";"Purple";"588170";"P\Purple\Purple.Slave";"0";"P\Purple";"524288";"Purple";"OCS/ECS";"";"";"";"";"";"purple warfalcons";"Exact";"100";"purple-warfalcons";"C:\Work\First Realize\amiga-demo-database\jasdd\p\purple-warfalcons\screen_001.png";"purple-warfalcons"
"NoError";"QED ? 1993 Talent.";"1993 by Talent";"whdload";"0";"QED";"QED";"924147";"Q\QED\QED.Slave";"0";"Q\QED";"524288";"QED";"OCS/ECS";"";"";"";"";"";"qed by talent";"Best";"5.189374";"qed-talent";"C:\Work\First Realize\amiga-demo-database\jasdd\q\qed-talent\screen_001.png";"qed-talent"
"NoError, EmulTrap, ReqAGA, ClearMem";"QED 2 ? 1994 Talent.";"1994 Talent";"whdload";"0";"TQED 2";"QED2AGA";"1828307";"Q\QED2AGA\QED2AGA.Slave";"0";"Q\QED2AGA";"2097152";"QED2";"AGA";"";"";"";"";"";"qed 2 aga tqed talent";"Best";"2.352089";"qed-ii-talent";"C:\Work\First Realize\amiga-demo-database\jasdd\q\qed-ii-talent\screen_001.png";"qed-ii-talent"
"NoError, Req68020, ReqAGA, ClearMem";"Que? ? 1995 The Black Lotus";"1995 The Black Lotus";"whdload";"0";"Que?";"QueAGA";"6124950";"Q\QueAGA\QueAGA.Slave";"1441792";"Q\QueAGA";"786432";"Que";"AGA";"";"";"";"";"";"que aga the black lotus";"Best";"3.777232";"que-the-black-lotus";"C:\Work\First Realize\amiga-demo-database\jasdd\q\que-the-black-lotus\screen_001.png";"que-the-black-lotus"
"NoError, EmulTrap, ClearMem";"Quick Musique ? 1992 Oxygen.";"1992 Oxygen";"whdload";"0";"Quick Musique";"QuickMusique";"492185";"Q\QuickMusique\QuickMusique.Slave";"0";"Q\QuickMusique";"524288";"QuickMusique";"OCS/ECS";"";"";"";"";"";"quick musique oxygen";"Exact";"100";"quick-musique-oxygen";"C:\Work\First Realize\amiga-demo-database\jasdd\q\quick-musique-oxygen\screen_001.png";"quick-musique-oxygen"
"NoError, EmulTrap, ClearMem";"Rainheart Project ? 1990 Bad Company.";"1990 Bad Company";"whdload";"0";"Rainheart Project";"RainheartProject";"749167";"R\RainheartProject\RainheartProject.slave";"0";"R\RainheartProject";"524288";"RainheartProject";"OCS/ECS";"";"";"";"";"";"rainheart project bad company";"Exact";"100";"rainheart-project-bad-company";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\rainheart-project-bad-company\screen.jpg";"rainheart-project-bad-company"
"Disk, NoError";"Rampage ? 1994 T.E.K. - 1 disk";"1994 T.E.K";"whdload";"0";"Rampage";"Rampage";"915525";"R\Rampage\Rampage.Slave";"0";"R\Rampage";"1048576";"Rampage";"OCS/ECS";"";"";"";"";"";"rampage the electronic knights";"Exact";"100";"rampage-the-electronic-knights";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\rampage-the-electronic-knights\screen.gif";"rampage-the-electronic-knights"
"NoError, EmulTrap, ClearMem";"Rap is Crap ? 1991 Taipan.";"1991 Taipan";"whdload";"0";"Rap is Crap";"RapIsCrap";"1821032";"R\RapIsCrap\RapIsCrap.Slave";"0";"R\RapIsCrap";"524288";"RapIsCrap";"OCS/ECS";"";"";"";"";"";"rap is crap taipan";"Exact";"100";"rap-is-crap-taipan";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\rap-is-crap-taipan\screen.gif";"rap-is-crap-taipan"
"Disk, NoError";"Raverance ? 1993 Cyclone (1 disk)";"1993 Cyclone";"whdload";"0";"Raverance";"Raverance";"910799";"R\Raverance\Raverance.slave";"524288";"R\Raverance";"524288";"Raverance";"OCS/ECS";"";"";"";"";"";"raverance cyclone";"Exact";"100";"raverance-cyclone";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\raverance-cyclone\screen.jpg";"raverance-cyclone"
