"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"CrackerJournal17\CrackerJournal17.Slave";"NoError, ClearMem";"Cracker Journal #17 ? 1989 Alpha Flight.";"Cracker Journal #17";"1989 Alpha Flight";"0";"C\CrackerJournal17_v1.0_AlphaFlight.lha";"CrackerJournal17";"CrackerJournal17";"0";"whdload";"524288";"731975";"CrackerJournal17";"OCS/ECS";"";"";"";"";"";"cracker journal 17 alpha flight";"Best";"5.521426";"cracker-journal-17-alpha-flight-1970";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\c\cracker-journal-17-alpha-flight-1970\screen.png";"cracker-journal-17-alpha-flight-1970"
"CrackerJournal18\CrackerJournal18.Slave";"NoError, ClearMem";"Cracker Journal #18 ? 1990 Alpha Flight.";"Cracker Journal #18";"1990 Alpha Flight";"0";"C\CrackerJournal18_v1.0_AlphaFlight.lha";"CrackerJournal18";"CrackerJournal18";"0";"whdload";"524288";"846893";"CrackerJournal18";"OCS/ECS";"";"";"";"";"";"cracker journal 18 alpha flight";"Exact";"100";"cracker-journal-18-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-18-alpha-flight\screen_001.png";"cracker-journal-18-alpha-flight"
"CrackerJournal19\CrackerJournal19.Slave";"NoError, ClearMem";"Cracker Journal #19 ? 1990 Alpha Flight.";"Cracker Journal #19";"1990 Alpha Flight";"0";"C\CrackerJournal19_v1.0_AlphaFlight.lha";"CrackerJournal19";"CrackerJournal19";"0";"whdload";"524288";"853372";"CrackerJournal19";"OCS/ECS";"";"";"";"";"";"cracker journal 19 alpha flight";"Exact";"100";"cracker-journal-19-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-19-alpha-flight\screen_001.png";"cracker-journal-19-alpha-flight"
"CrackerJournal20\CrackerJournal20.Slave";"NoError, ClearMem";"Cracker Journal #20 ? 1990 Alpha Flight.";"Cracker Journal #20";"1990 Alpha Flight";"0";"C\CrackerJournal20_v1.0_AlphaFlight.lha";"CrackerJournal20";"CrackerJournal20";"0";"whdload";"524288";"863826";"CrackerJournal20";"OCS/ECS";"";"";"";"";"";"cracker journal 20 alpha flight";"Exact";"100";"cracker-journal-20-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-20-alpha-flight\screen_001.png";"cracker-journal-20-alpha-flight"
"CrackerJournal21\CrackerJournal21.Slave";"NoError, ClearMem";"Cracker Journal #21 ? 1990 Alpha Flight.";"Cracker Journal #21";"1990 Alpha Flight";"0";"C\CrackerJournal21_v1.0_AlphaFlight.lha";"CrackerJournal21";"CrackerJournal21";"0";"whdload";"524288";"1702536";"CrackerJournal21";"OCS/ECS";"";"";"";"";"";"cracker journal 21 alpha flight";"Exact";"100";"cracker-journal-21-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-21-alpha-flight\screen_001.png";"cracker-journal-21-alpha-flight"
"CrackerJournal22\CrackerJournal22.Slave";"NoError, ClearMem";"Cracker Journal #22 ? 1990 Alpha Flight.";"Cracker Journal #22";"1990 Alpha Flight";"0";"C\CrackerJournal22_v1.0_AlphaFlight.lha";"CrackerJournal22";"CrackerJournal22";"0";"whdload";"524288";"815307";"CrackerJournal22";"OCS/ECS";"";"";"";"";"";"cracker journal 22 alpha flight";"Exact";"100";"cracker-journal-22-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-22-alpha-flight\screen_001.png";"cracker-journal-22-alpha-flight"
"DISC1\DISC1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #1 ? 1990 Level 4.";"D.I.S.C. #1";"Level 4";"262144";"D\DISC1_v1.0_Level4.lha";"DISC1";"DISC1";"0";"whdload";"524288";"557924";"DISC1";"OCS/ECS";"";"";"";"";"";"disc issue 1 level 4";"Exact";"100";"disc-issue-1-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-1-level-4\screen.png";"disc-issue-1-level-4"
"DISC2\DISC2.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #2 ? 1990 Level 4.";"D.I.S.C. #2";"Level 4";"262144";"D\DISC2_v1.0_Level4.lha";"DISC2";"DISC2";"0";"whdload";"524288";"776211";"DISC2";"OCS/ECS";"";"";"";"";"";"disc issue 2 level 4";"Exact";"100";"disc-issue-2-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-2-level-4\screen.png";"disc-issue-2-level-4"
"DISC3\DISC3.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #3 ? 1990 Level 4.";"D.I.S.C. #3";"Level 4";"262144";"D\DISC3_v1.0_Level4.lha";"DISC3";"DISC3";"0";"whdload";"524288";"712223";"DISC3";"OCS/ECS";"";"";"";"";"";"disc issue 3 level 4";"Exact";"100";"disc-issue-3-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-3-level-4\screen.png";"disc-issue-3-level-4"
"DISC4\DISC4.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #4 ? 1990 Level 4.";"D.I.S.C. #4";"Level 4";"262144";"D\DISC4_v1.0_Level4.lha";"DISC4";"DISC4";"0";"whdload";"524288";"574385";"DISC4";"OCS/ECS";"";"";"";"";"";"disc issue 4 level 4";"Exact";"100";"disc-issue-4-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-4-level-4\screen.gif";"disc-issue-4-level-4"
"DISC5\DISC5.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #5 ? 1990 Level 4.";"D.I.S.C. #5";"Level 4";"262144";"D\DISC5_v1.0_Level4.lha";"DISC5";"DISC5";"0";"whdload";"524288";"704876";"DISC5";"OCS/ECS";"";"";"";"";"";"disc 5 1 level 4";"Best";"4.07672";"disc-issue-5-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-5-level-4\screen.png";"disc-issue-5-level-4"
"DISC6\DISC6.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #6 ? 1991 Level 4.";"D.I.S.C. #6";"Level 4";"262144";"D\DISC6_v1.0_Level4.lha";"DISC6";"DISC6";"0";"whdload";"524288";"748621";"DISC6";"OCS/ECS";"";"";"";"";"";"disc 6 1 level 4";"Best";"4.160794";"disc-issue-6-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-6-level-4\screen.png";"disc-issue-6-level-4"
"DISC7\DISC7.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #7 ? 1991 Level 4.";"D.I.S.C. #7";"Level 4";"262144";"D\DISC7_v1.0_Level4.lha";"DISC7";"DISC7";"0";"whdload";"524288";"480165";"DISC7";"OCS/ECS";"";"";"";"";"";"disc 7 1 level 4";"Best";"4.155917";"disc-issue-7-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-7-level-4\screen.png";"disc-issue-7-level-4"
"DISC8\DISC8.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #8 ? 1991 Level 4.";"D.I.S.C #8";"Level 4";"262144";"D\DISC8_v1.0_Level4.lha";"DISC8";"DISC8";"0";"whdload";"524288";"262124";"DISC8";"OCS/ECS";"";"";"";"";"";"disc 8 1 level 4";"Best";"4.175397";"disc-issue-8-level-4";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\d\disc-issue-8-level-4\screen.png";"disc-issue-8-level-4"
"Exit1\Exit1.Slave";"NoError, EmulTrap";"Exit 1 (c) 1993 Vectors - 1 disk.";"Exit 1 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit1_v1.0_Vectors.lha";"Exit1";"Exit1";"0";"whdload";"524288";"858406";"Exit1";"OCS/ECS";"";"";"";"";"";"exit 1 vectors";"Exact";"100";"exit-1-vectors";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\e\exit-1-vectors\screen.jpg";"exit-1-vectors"
