"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1987";"http://www.lemonamiga.com/games/details.php?id=3281";"3281";"Commercial";"English";"1";"1 or 2";"Sky Fighter";"Anco";"s\sky-fighter";"OCS";
"1991";"http://www.lemonamiga.com/games/details.php?id=2181";"2181";"Commercial";"English";"1";"1 Only";"Sky High Stuntman";"Codemasters";"s\sky-high-stuntman";"OCS,ECS";
"1988";"http://www.lemonamiga.com/games/details.php?id=2944";"2944";"Commercial";"English";"1";"1 or 2, Simultaneous";"SkyChase";"Image Works";"s\skychase";"OCS";
"1986";"http://www.lemonamiga.com/games/details.php?id=2997";"2997";"Commercial";"English";"1";"1 Only";"Skyfox";"Electronic Arts";"s\skyfox";"OCS";
"1988";"http://www.lemonamiga.com/games/details.php?id=2998";"2998";"Commercial";"English";"1";"1 Only";"Skyfox II: The Cygnus Conflict";"Electronic Arts";"s\skyfox-ii-the-cygnus-conflict";"OCS";
"1995";"http://www.lemonamiga.com/games/details.php?id=3042";"3042";"Promotional";"German";"2";"1 Only";"Skyworker";"BMWi";"s\skyworker";"OCS,ECS";"Simulation - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=507";"507";"Commercial";"Danish";"3";"1 Only";"Skærmtrolden Hugo";"Silverrock Productions";"s\sk-rmtrolden-hugo";"OCS,ECS";"Arcade - Miscellaneous"
"1996";"http://www.lemonamiga.com/games/details.php?id=1184";"1184";"Commercial";"English";"5";"1 to 8";"Slamtilt";"21st Century Entertainment";"s\slamtilt-aga";"AGA";"Arcade - Pinball"
"1989";"http://www.lemonamiga.com/games/details.php?id=2224";"2224";"Commercial";"English";"1";"1 or 2";"Slayer";"Hewson";"s\slayer";"OCS";
"1989";"http://www.lemonamiga.com/games/details.php?id=975";"975";"Commercial";"English,German,French,Italian";"2";"1 Only";"Sleeping Gods Lie";"Empire Software";"s\sleeping-gods-lie";"OCS";"Adventure - RPG 3D"
"1993";"http://www.lemonamiga.com/games/details.php?id=1964";"1964";"Commercial";"English";;"1 Only";"Sleepwalker";"Ocean";"s\sleepwalker-cd32";"CD32";"Platformer - Scrolling Screen"
"1993";"http://www.lemonamiga.com/games/details.php?id=972";"972";"Commercial";"English";"3";"1 Only";"Sleepwalker";"Ocean";"s\sleepwalker";"OCS,ECS";"Platformer - Scrolling Screen"
"1993";"http://www.lemonamiga.com/games/details.php?id=2651";"2651";"Commercial";"English";"4";"1 Only";"Sleepwalker";"Ocean";"s\sleepwalker-aga";"AGA";"Platformer - Scrolling Screen"
