Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1987;http://www.lemonamiga.com/games/details.php?id=932;s\sdi;Commercial;1;1 Only;S.D.I.;Cinemaware;English;OCS;;S.D.I. Cinemaware
1988;http://www.lemonamiga.com/games/details.php?id=3525;s\stag;Commercial;1;1 Only;S.T.A.G.;EAS Software;English;OCS;Simulation - Space;S.T.A.G. EAS Software
1990;http://www.lemonamiga.com/games/details.php?id=1013;s\stun-runner;Commercial;1;1 Only;S.T.U.N. Runner;Domark;English;OCS,ECS;Racing - Miscellaneous;S.T.U.N. Runner Domark
1992;http://www.lemonamiga.com/games/details.php?id=927;s\sabre-team;Commercial;2;1 Only;Sabre Team;Krisalis;English,German,French,Italian,Spanish;OCS,ECS;Strategy - War;Sabre Team Krisalis
1994;http://www.lemonamiga.com/games/details.php?id=3229;s\sabre-team-cd32;Commercial;;1 Only;Sabre Team;Krisalis;English,German,French,Italian,Spanish;CD32;Strategy - War;Sabre Team Krisalis
1989;http://www.lemonamiga.com/games/details.php?id=2101;s\safari-guns;Commercial;2;1 Only;Safari Guns;Infogrames;English,German;OCS;;Safari Guns Infogrames
1989;http://www.lemonamiga.com/games/details.php?id=1810;s\saint-greavsie;Commercial;1;1 to 4;Saint & Greavsie;Grandslam;English;OCS;Educational - Quiz;Saint & Greavsie Grandslam
1990;http://www.lemonamiga.com/games/details.php?id=928;s\saint-dragon;Commercial;1;1 Only;Saint Dragon;Storm/The Sales Curve;English;OCS;;Saint Dragon Storm/The Sales Curve
1990;http://www.lemonamiga.com/games/details.php?id=3045;s\salmon-pink-max;Public Domain/Freeware;1;1 or 2, Simultaneous;Salmon-Pink Max;(unknown);English;OCS;;Salmon-Pink Max (unknown)
1996;http://www.lemonamiga.com/games/details.php?id=2294;s\samba-partie;Commercial;3;1 or 2;Samba Partie;Sayonara Software;German;OCS,ECS;Sports - Football/Soccer;Samba Partie Sayonara Software
1996;http://www.lemonamiga.com/games/details.php?id=2295;s\samba-partie-professional;Commercial;3;;Samba Partie Professional;Sayonara Software;German;OCS,ECS;Sports - Football/Soccer;Samba Partie Professional Sayonara Software
1993;http://www.lemonamiga.com/games/details.php?id=2086;s\santa-rudolph-do-christmas;Public Domain/Freeware;1;1 Only;Santa & Rudolph Do Christmas!;(unknown);English;OCS,ECS;;Santa & Rudolph Do Christmas! (unknown)
1992;http://www.lemonamiga.com/games/details.php?id=929;s\santas-xmas-caper;Commercial;1;1 Only;Santa's Xmas Caper;Zeppelin Games;English;OCS,ECS;Platformer - Scrolling Screen;Santa's Xmas Caper Zeppelin Games
1991;http://www.lemonamiga.com/games/details.php?id=2453;s\sarakon;Commercial;1;1 Only;Sarakon;Leisure Genius;English;OCS,ECS;Brain - Tile Removal;Sarakon Leisure Genius
