"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"NoError, EmulTrap, EmulDivZero";"Grid Runner aka Super Grid Runner (c) Llamasoft 1989";"1989 Llamasoft";"whdload";"0";"Grid Runner";"SuperGridRunner";"372328";"S\SuperGridRunner\SuperGridRunner.Slave";"4096";"S\SuperGridRunner";"524288";"SuperGridRunner";"OCS/ECS";"";"";"";"";"";"super grid runner";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2412";"2412";"Commercial";"English";"1";"1 Only";"Grid Runner";"Llamasoft";"g\grid-runner";"OCS";"";"grid runner gridrunner 2412 llamasoft gridrunner english"
"NoError, EmulTrap, EmulDivZero";"Grid Runner aka Super Grid Runner (c) Llamasoft 1989";"1989 Llamasoft";"whdload";"0";"Grid Runner";"SuperGridRunnerCracked";"183064";"S\SuperGridRunnerCracked\SuperGridRunnerCracked.Slave";"4096";"S\SuperGridRunnerCracked";"524288";"SuperGridRunner";"OCS/ECS";"";"";"";"Cracked";"";"super grid runner";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2412";"2412";"Commercial";"English";"1";"1 Only";"Grid Runner";"Llamasoft";"g\grid-runner";"OCS";"";"grid runner gridrunner 2412 llamasoft gridrunner english"
"Disk, NoError, EmulTrap";"Super?Hang?On ?1986 Sega, ?1988 Electric";"1986 Sega, 1988 Electric Dreams";"whdload";"0";"Super·Hang·On";"SuperHangOn";"847924";"S\SuperHangOn\SuperHangOn.Slave";"421888";"S\SuperHangOn";"524288";"SuperHangOn";"OCS/ECS";"";"";"";"";"";"super hang on";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1020";"1020";"Commercial";"English";"1";"1 Only";"Super Hang-On";"Electric Dreams";"s\super-hang-on";"OCS";"Racing - Motorcycle";"super hang on superhangon 1020 electric dreams superhangon english"
"NoError, EmulTrap, EmulPriv, Examine";"Super Hero (demo) ? Psygnosis/Kage.";"Psygnosis.";"whdload";"0";"Super Hero Demo";"SuperheroDemo";"219668";"S\SuperheroDemo\SuperheroDemo.Slave";"262144";"S\SuperheroDemo";"1048576";"Superhero";"OCS/ECS";"";"";"Demo";"";"";"superhero super hero";"Exact";"N/A";"Open Amiga Game Database";"";"https://oagd.net/game/fe57649b-813c-5662-8fb9-b9489b1685ba";;;"English";;"";"Superhero";"Psygnosis";"s\superhero";;;"superhero superhero psygnosis superhero english"
"NoError, EmulPriv";"Super Loopz (c) 1995 Audiogenic - 1 disk.";"1995 Audiogenic";"whdload";"0";"Super Loopz";"SuperLoopzAGA";"768760";"S\SuperLoopzAGA\SuperLoopzAGA.Slave";"786432";"S\SuperLoopzAGA";"1835008";"SuperLoopz";"AGA";"";"";"";"";"";"super loopz";"Exact";"100";"Lemon Amiga";"1995";"http://www.lemonamiga.com/games/details.php?id=2731";"2731";"Commercial";"English";"1";"2 Only, Simultaneous";"Super Loopz";"Audiogenic";"s\super-loopz-aga";"AGA";"Brain - Puzzle";"super loopz superloopz 2731 audiogenic superloopz english"
"NoError, EmulTrap";"Superman ? 1988 TyneSoft/Subway/First star software.";"1988-89 TyneSoft / First Star Software";"whdload";"0";"Superman - The man of steel";"Superman";"1021767";"S\Superman\Superman.Slave";"0";"S\Superman";"524288";"Superman";"OCS/ECS";"";"";"";"";"";"superman the man of steel";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1473";"1473";"Commercial";"English";"2";"1 Only";"Superman: The Man of Steel";"Tynesoft";"s\superman-the-man-of-steel";"OCS";"Arcade - Miscellaneous";"superman the man of steel supermanthemanofsteel 1473 tynesoft supermanthemanofsteel english"
"NoError, EmulTrap";"Super Methane Bros (c) 1993 Apache - 2 disks/CD32.";"1993 Apache";"whdload";"0";"Super Methane Bros";"SuperMethaneBros";"1823826";"S\SuperMethaneBros\SuperMethaneBros.Slave";"0";"S\SuperMethaneBros";"1048576";"SuperMethaneBros";"OCS/ECS";"";"";"";"";"";"super methane bros";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=473";"473";"Commercial";"English";"";"1 or 2, Simultaneous";"Super Methane Bros";"Apache Software";"s\super-methane-bros-cd32";"CD32";"Platformer - Single Screen";"super methane bros supermethanebros 473 apache software supermethanebros english"
"NoError, EmulTrap, ClearMem";"Super Methane Bros (c) 1993 Apache - 2 disks/CD32.";"1993 Apache";"whdload";"0";"Super Methane Bros CD³²";"SuperMethaneBrosCD32";"2187052";"S\SuperMethaneBrosCD32\SuperMethaneBrosCD32.Slave";"0";"S\SuperMethaneBrosCD32";"1900544";"SuperMethaneBros";"CD32";"";"";"";"";"";"super methane bros";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=473";"473";"Commercial";"English";"";"1 or 2, Simultaneous";"Super Methane Bros";"Apache Software";"s\super-methane-bros-cd32";"CD32";"Platformer - Single Screen";"super methane bros supermethanebros 473 apache software supermethanebros english"
"NoError, EmulTrap";"Super Monaco GP (c) 1991 US Gold (1 disk).";"1991 US Gold";"whdload";"0";"Super Monaco GP";"SuperMonacoGP";"923081";"S\SuperMonacoGP\SuperMonacoGP.slave";"0";"S\SuperMonacoGP";"524288";"SuperMonacoGP";"OCS/ECS";"";"";"";"";"";"super monaco gp";"Exact";"N/A";"Open Amiga Game Database";"1991";"https://oagd.net/amiga/super-monaco-gp";;;"English";;"1";"Super Monaco GP";"U.S. Gold";"s\super-monaco-gp";;;"super monaco gp supermonacogp us gold supermonacogp english"
"NoError";"Super Obliteration (c) 1993 David Papworth.";"1993 David Papworth";"whdload";"0";"Super Obliteration";"SuperObliteration";"491499";"S\SuperObliteration\SuperObliteration.Slave";"0";"S\SuperObliteration";"589824";"SuperObliteration";"OCS/ECS";"";"";"";"";"";"super obliteration";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=2058";"2058";"Public Domain/Freeware";"English";"1";"1 Only";"Super Obliteration";"(unknown)";"s\super-obliteration";"OCS,ECS";"";"super obliteration superobliteration 2058 unknown superobliteration english"
"NoError, EmulTrap, EmulTrapV, ClearMem";"Ivan Stewart's Super Off Road ? 1989 Graftgold/Leland.";"1989 GraftGold/Virgin Games/Leland ";"whdload";"0";"Super Off Road";"SuperOffRoad";"926156";"S\SuperOffRoad\SuperOffRoad.Slave";"524288";"S\SuperOffRoad";"524288";"SuperOffRoad";"OCS/ECS";"";"";"";"";"";"super off road";"Best";"1.849229";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=623";"623";"Commercial";"English";"1";"1 to 3, Simultaneous";"Ivan 'Ironman' Stewart's Super Off Road";"Virgin Games";"i\ivan-ironman-stewarts-super-off-road";"OCS";"Racing - Overhead";"ivan ironman stewarts super off road ivanironmanstewartssuperoffroad 623 virgin games ivanironmanstewartssuperoffroad english"
