"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"CaptainBlood\CaptainBlood.Slave";"NoError, EmulPriv, Examine";"Captain Blood ?1988 Ere Informatique/Exxos/Mindscape.";"Captain Blood";"1988 Ere Informatique/Exxos/Mindscape.";"262144";"C\CaptainBlood_v1.2_0443.lha";"CaptainBlood";"CaptainBlood";"0";"whdload";"524288";"667335";"CaptainBlood";"OCS/ECS";"";"";"";"";"";"captain blood";"Exact";"100";"CaptainBlood";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CaptainBlood.png";"captainblood"
"CaptainBloodNTSC\CaptainBloodNTSC.Slave";"NoError, EmulPriv, Examine";"Captain Blood ?1988 Ere Informatique/Exxos/Mindscape.";"Captain Blood";"1988 Ere Informatique/Exxos/Mindscape.";"262144";"C\CaptainBlood_v1.2_NTSC_0466.lha";"CaptainBloodNTSC";"CaptainBloodNTSC";"0";"whdload";"524288";"784705";"CaptainBlood";"OCS/ECS";"";"";"";"NTSC";"";"captain blood";"Exact";"100";"CaptainBloodNTSC";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CaptainBloodNTSC.png";"captainbloodntsc"
"CaptainFizz\CaptainFizz.slave";"NoError, EmulPriv, ClearMem, Examine";"Captain Fizz ? 1988 Psygnosis.";"Captain Fizz";"1988 Psygnosis";"262144";"C\CaptainFizz_v1.1_1777.lha";"CaptainFizz";"CaptainFizz";"0";"whdload";"524288";"667510";"CaptainFizz";"OCS/ECS";"";"";"";"";"";"captain fizz";"Exact";"100";"CaptainFizz";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CaptainFizz.png";"captainfizz"
"CaptainPlanet\CaptainPlanet.slave";"NoError, EmulTrap";"";"Captain Planet And The Planeteers";"1991 Thalion";"0";"C\CaptainPlanet_v2.0a.lha";"CaptainPlanet";"CaptainPlanet";"0";"whdload";"524288";"889777";"CaptainPlanet";"OCS/ECS";"";"";"";"";"";"captain planet and the planeteers";"Exact";"100";"CaptainPlanet";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CaptainPlanet.png";"captainplanet"
"CaptainPlanetA600Pack\CaptainPlanetA600Pack.Slave";"NoError, EmulTrap";"";"Captain Planet And The Planeteers";"1991 Thalion";"0";"C\CaptainPlanet_v2.0a_A600Pack_1448.lha";"CaptainPlanetA600Pack";"CaptainPlanetA600Pack";"0";"whdload";"524288";"809449";"CaptainPlanetA600Pack";"OCS/ECS";"";"";"";"";"";"captain planet 600 pack and the planeteers";"Exact";"100";"CaptainPlanetA600Pack";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CaptainPlanetA600Pack.png";"captainplaneta600pack"
"Captive\Captive.Slave";"NoError, ClearMem";"Captive ? 1990 Mindscape.";"Captive";"1991 Mindscape";"528384";"C\Captive_v2.0_2164.lha";"Captive";"Captive";"0";"whdload";"524288";"894229";"Captive";"OCS/ECS";"";"";"";"";"";"captive";"Exact";"100";"Captive";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Captive.png";"captive"
"Carcharodon\Carcharodon.slave";"NoError, EmulTrap, ClearMem";"Carcharodon - White Sharks ? 1989/1990 Demonware.";"-) Carcharodon - White Sharks (-";"1989/90 Demonware";"4096";"C\Carcharodon_v1.1a_2389.lha";"Carcharodon";"Carcharodon";"0";"whdload";"524288";"698216";"Carcharodon";"OCS/ECS";"";"";"";"";"";"carcharodon white sharks";"Exact";"100";"Carcharodon";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Carcharodon.png";"carcharodon"
"CardiaxxElectronicZoo\CardiaxxElectronicZoo.Slave";"EmulTrap, NoDivZero, NoKbd, EmulLineA, EmulTrapV, EmulChk, EmulPriv, EmulLineF, ClearMem";"CARDIAXX ? 1991-93 Electronic Zoo and Team 17.";"Cardiaxx";"1991-93 ELECTRONIC ZOO/TEAM 17";"0";"C\Cardiaxx_v1.0a_ElectronicZoo_1601.lha";"CardiaxxElectronicZoo";"CardiaxxElectronicZoo";"0";"whdload";"524288";"979300";"CardiaxxElectronicZoo";"OCS/ECS";"";"";"";"";"";"cardiaxx electronic zoo";"Exact";"100";"CardiaxxElectronicZoo";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CardiaxxElectronicZoo.png";"cardiaxxelectroniczoo"
"CardiaxxTeam17\CardiaxxTeam17.Slave";"EmulTrap, NoDivZero, NoKbd, EmulLineA, EmulTrapV, EmulChk, EmulPriv, EmulLineF, ClearMem";"CARDIAXX ? 1991-93 Electronic Zoo and Team 17.";"Cardiaxx";"1991-93 ELECTRONIC ZOO/TEAM 17";"0";"C\Cardiaxx_v1.0a_Team17_2362.lha";"CardiaxxTeam17";"CardiaxxTeam17";"0";"whdload";"524288";"979293";"CardiaxxTeam17";"OCS/ECS";"";"";"";"";"";"cardiaxx team 17";"Exact";"100";"CardiaxxTeam17";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CardiaxxTeam17.png";"cardiaxxteam17"
"CardinalOfTheKremlin\CardinalOfTheKremlin.Slave";"NoError, EmulTrap, EmulPriv, Examine";"The Cardinal of the Kremlin ? 1991 Capstone.";"The Kardinal of the Kremlin";"1991 Capstone";"262144";"C\CardinalOfTheKremlin_v1.0.lha";"CardinalOfTheKremlin";"CardinalOfTheKremlin";"0";"whdload";"524288";"775674";"CardinalOfTheKremlin";"OCS/ECS";"";"";"";"";"";"cardinal of the kremlin kardinal";"Exact";"100";"CardinalOfTheKremlin";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\CardinalOfTheKremlin.png";"cardinalofthekremlin"
