"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, ClearMem";"683031";"A\ArtOfNoise3\ArtOfNoise3.Slave";"Art of Noise 3 ? 1991 Northtech.";"0";"ArtOfNoise3";"Art of Noise 3";"1991 Northtech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ArtOfNoise3";"OCS/ECS";"";"";"";"";"";"art of noise 3 northtech"
"NoError, EmulTrap, ClearMem";"751379";"A\ArtOfNoise4\ArtOfNoise4.Slave";"Art of Noise 4 ? 1991 Northtech.";"0";"ArtOfNoise4";"Art of Noise 4";"1991 Northtech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ArtOfNoise4";"OCS/ECS";"";"";"";"";"";"art of noise 4 northtech"
"NoError, EmulTrap, ClearMem";"364154";"A\Assemblo\Assemblo.Slave";"Assemblo ? 1992 World Industries.";"0";"Assemblo";"Assembblo";"1992 World Industries";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Assemblo";"OCS/ECS";"";"";"";"";"";"assemblo assembblo world industries"
"NoError, EmulTrap, ClearMem";"919999";"A\Assembly92Slideshow\Assembly92Slideshow.Slave";"Assembly '92 Slideshow ? 1992 World Industries.";"0";"Assembly92Slideshow";"Assembly ";"1992 World Industries";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Assembly92Slideshow";"OCS/ECS";"";"";"";"";"";"assembly 92 slideshow world industries"
"NoError, EmulTrap, ClearMem";"96978";"A\Astrogate\Astrogate.Slave";"Astrogate ? 1990 Byterapers.";"0";"Astrogate";"Astrogate";"1990 Byterapers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Astrogate";"OCS/ECS";"";"";"";"";"";"astrogate byterapers"
"NoError, EmulTrap, ClearMem";"336712";"A\AudienceIsListening\AudienceIsListening.Slave";"The Audience is Listening ? 1991 Taipan";"0";"AudienceIsListening";"The Audience is Listening";"1991 Taipan";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudienceIsListening";"OCS/ECS";"";"";"";"";"";"audience is listening the taipan"
"NoError, EmulTrap, ClearMem";"919453";"A\AudiOmega\AudiOmega.Slave";"AudiOmega ? 1993 Rebels.";"0";"AudiOmega";"AudiOmega";"1993 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudiOmega";"OCS/ECS";"";"";"";"";"";"audiomega rebels"
"NoError, EmulTrap, ClearMem";"958238";"A\AudioRhythm2\AudioRhythm2.Slave";"Audio Rhythm 2 ? 1993 Tronix.";"0";"AudioRhythm2";"Audio Rhythm 2";"1993 Tronix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioRhythm2";"OCS/ECS";"";"";"";"";"";"audio rhythm 2 tronix"
"NoError, EmulTrap, ClearMem";"819433";"A\AudioViolation\AudioViolation.Slave";"Audio Violation ? 1993 Defekt.";"0";"AudioViolation";"Audio Violation";"1993 Defekt";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioViolation";"OCS/ECS";"";"";"";"";"";"audio violation defekt"
"Disk, NoError, EmulTrap";"920604";"A\AudioX\AudioX.slave";"Audio X ? 19?? Crusaders.";"0";"AudioX";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioX";"OCS/ECS";"";"";"";"";"";"audio x the crusaders"
"NoError, EmulTrap, ClearMem";"925721";"A\AutumnNights\AutumnNights.Slave";"Autumn Nights ? 1992 Palace.";"0";"AutumnNights";"Autumn Nights";"1992 Palace";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AutumnNights";"OCS/ECS";"";"";"";"";"";"autumn nights palace"
"NoError, EmulTrap, ClearMem";"547099";"B\Back2Base\Back2Base.Slave";"Back 2 Base ? 1989 Crusaders.";"0";"Back2Base";"Back 2 Base";"1989 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Back2Base";"OCS/ECS";"";"";"";"";"";"back 2 base crusaders"
"Disk, NoError, EmulTrap";"922371";"B\Bacteria\Bacteria.slave";"Bacteria ? 19?? Crusaders.";"0";"Bacteria";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Bacteria";"OCS/ECS";"";"";"";"";"";"bacteria the crusaders"
"NoError, EmulTrap, ClearMem";"918791";"B\BanditsRadio\BanditsRadio.Slave";"Bandit's Radio 1993 Mad Elks.";"0";"BanditsRadio";"Bandit";"1993 Mad Elks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BanditsRadio";"OCS/ECS";"";"";"";"";"";"bandits radio bandit mad elks"
"NoError, EmulTrap, ClearMem";"921289";"B\BardInABox\BardInABox.Slave";"Bard In A Box ? 1991 Academy.";"0";"BardInABox";"Bard in a Box";"1991 Academy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BardInABox";"OCS/ECS";"";"";"";"";"";"bard in abox box academy"
"NoError, EmulTrap, ClearMem";"796257";"B\BassoContinuo\BassoContinuo.Slave";"Basso Continuo ? 1992 Fury.";"0";"BassoContinuo";"Basso Continuo";"1992 Fury";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BassoContinuo";"OCS/ECS";"";"";"";"";"";"basso continuo fury"
"NoError, EmulTrap, ClearMem";"1821989";"B\BassOMatic\BassOMatic.Slave";"Bass-O-Matic ? 1991 Crusaders.";"0";"BassOMatic";"Bass-O-Matic";"1991 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BassOMatic";"OCS/ECS";"";"";"";"";"";"bass omatic matic crusaders"
"NoError, EmulTrap";"1826019";"B\BatmanVuelve\BatmanVuelve.Slave";"Batman Vuelve (c) 1995 Batman Group - 2 disks.";"0";"BatmanVuelve";"Batman Vuelve";"1995 Batman Group";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BatmanVuelve";"OCS/ECS";"";"";"";"";"";"batman vuelve group"
