"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, NoKbd";"506000";"R\RealPopeye\RealPopeye.Slave";"The Real Popeye by Bignonia (c) 1993 - 1 disk.";"0";"RealPopeye";"The Real Popeye";"1993 Bignonia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RealPopeye";"OCS/ECS";"";"";"";"";"";"real popeye the"
"NoError, EmulTrap, ClearMem";"844935";"R\Rebellion\Rebellion.slave";"Rebellion ? 1992 Fun Factory.";"0";"Rebellion";"Rebellion";"1992 Fun Factory";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Rebellion";"OCS/ECS";"";"";"";"";"";"rebellion"
"NoError, EmulPriv, Examine";"2636091";"R\RedBaron\RedBaron.slave";"Red Baron ? 1992 Sierra/Dynamix.";"0";"RedBaron";"Red Baron";"1992 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedBaron";"OCS/ECS";"";"";"";"";"";"red baron"
"NoError, EmulPriv, Examine";"2609322";"R\RedBaronDe\RedBaronDe.slave";"Red Baron ? 1992 Sierra/Dynamix.";"0";"RedBaronDe";"Red Baron";"1992 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedBaron";"OCS/ECS";"De";"";"";"";"";"red baron"
"NoError, ClearMem";"1083413";"R\RedHeat\RedHeat.Slave";"Red Heat ? 1989 Ocean.";"0";"RedHeat";"Red Heat";"1989 Ocean";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedHeat";"OCS/ECS";"";"";"";"";"";"red heat"
"NoError, EmulPriv, Examine";"742822";"R\RedLightning\RedLightning.slave";"Red Lightning ? 1989 S.S.I.";"0";"RedLightning";"Red Lightning";"1989 S.S.I.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedLightning";"OCS/ECS";"";"";"";"";"";"red lightning"
"NoError, EmulPriv, Examine";"974083";"R\RedStormRising\RedStormRising.Slave";"Red Storm Rising ? 1990 Microprose.";"0";"RedStormRising";"Red Storm Rising";"1992 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedStormRising";"OCS/ECS";"";"";"";"";"";"red storm rising"
"NoError, EmulTrap, ClearMem";"1644605";"R\RedZone\RedZone.Slave";"Red Zone ? 1992 Psygnosis";"0";"RedZone";"Red Zone";"1992 Psygnosis";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RedZone";"OCS/ECS";"";"";"";"";"";"red zone"
"NoError, EmulTrap";"910270";"R\Reflexity\Reflexity.Slave";"Reflexity ? 1992 Hitec Studio Designs.";"0";"Reflexity";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Reflexity";"OCS/ECS";"";"";"";"";"";"reflexity"
"EmulPriv, ClearMem, Examine";"775187";"R\Renaissance\Renaissance.Slave";"";"0";"Renaissance";"Renaissance / Classic 4";"1990 Impressions";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Renaissance";"OCS/ECS";"";"";"";"";"";"renaissance classic 4"
