"Priority";"Name";"File";"Keywords"
"2";"FateGatesOfDawn";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FateGatesOfDawn\igame.iff";"fate gates of dawn"
"2";"FernandezMustDie";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FernandezMustDie\igame.iff";"fernandez must die"
"2";"FiendishFreddyHD";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FiendishFreddyHD\igame.iff";"fiendish freddy hd"
"2";"FiendishFreddysBigTopOFun";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FiendishFreddysBigTopOFun\igame.iff";"fiendish freddys big top ofun"
"2";"Fire&Forget2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\Fire&Forget2\igame.iff";"fire forget 2"
"2";"Fire&Ice";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\Fire&Ice\igame.iff";"fire ice"
"2";"Fire&IceXmasDemo";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\Fire&IceXmasDemo\igame.iff";"fire ice xmas demo"
"2";"FireAndBrimstone";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FireAndBrimstone\igame.iff";"fire and brimstone"
"2";"FireBlaster";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FireBlaster\igame.iff";"fire blaster"
"2";"FireForce";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FireForce\igame.iff";"fire force"
"2";"FiveASideSoccer";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FiveASideSoccer\igame.iff";"five aside soccer"
"2";"Flipit&Magnose";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\Flipit&Magnose\igame.iff";"flipit magnose"
"2";"Floor13";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\Floor13\igame.iff";"floor 13"
"2";"FootballGloryAGA";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FootballGloryAGA\igame.iff";"football glory aga"
"2";"ForgottenWorlds";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\ForgottenWorlds\igame.iff";"forgotten worlds"
"2";"FrightNight";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FrightNight\igame.iff";"fright night"
