"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"1081530";"M\MegademoUnitedForces\MegademoUnitedForces.Slave";"Megademo ? 1989 United Forces.";"0";"MegademoUnitedForces";"Megademo";"1989 United Forces";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegademoUnitedForces";"OCS/ECS";"";"";"";"";"megademo united forces";"Exact";"100";"megademo-united-forces";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megademo-united-forces\screen_001.png";"megademo-united-forces"
"NoError, EmulTrap, ClearMem";"744341";"M\MegademoVision\MegademoVision.Slave";"Megademo ? 1989 Vision.";"0";"MegademoVision";"Megademo";"1989 Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegademoVision";"OCS/ECS";"";"";"";"";"megademo vision";"Exact";"100";"megademo-vision";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megademo-vision\screen_001.png";"megademo-vision"
"NoError, EmulTrap, ClearMem";"756618";"M\MegademoZeus\MegademoZeus.Slave";"Megademo ? 1991 Zeus.";"0";"MegademoZeus";"Megademo";"1991 Zeus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegademoZeus";"OCS/ECS";"";"";"";"";"megademo zeus";"Exact";"100";"megademo-zeus";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megademo-zeus\screen_001.png";"megademo-zeus"
"NoError, EmulTrap";"912679";"M\MegaMix1\MegaMix1.Slave";"Mega Mix 1 ? 1990 Royal Amiga Force.";"0";"MegaMix1";"Mega Mix 1";"1990 Royal Amiga Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegaMix1";"OCS/ECS";"";"";"";"";"mega mix 1 royal amiga force";"Exact";"100";"megamix-1-royal-amiga-force";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megamix-1-royal-amiga-force\screen_001.png";"megamix-1-royal-amiga-force"
"NoError, EmulTrap, ClearMem";"1823067";"M\MegaMix2\MegaMix2.slave";"Mega Mix 2 ? 1990 Royal Amiga Force.";"0";"MegaMix2";"Mega Mix 2";"1990 Royal Amiga Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegaMix2";"OCS/ECS";"";"";"";"";"megamix 2 the pumpin track royal amiga force";"Exact";"100";"megamix-2-the-pumpin-track-royal-amiga-force";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megamix-2-the-pumpin-track-royal-amiga-force\screen_001.png";"megamix-2-the-pumpin-track-royal-amiga-force"
"NoError, EmulTrap, ClearMem";"1821031";"M\MegaMix3\MegaMix3.Slave";"Mega Mix 3 1991 Royal Amiga Force.";"0";"MegaMix3";"Mega Mix 3";"1991 Royal Amiga Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MegaMix3";"OCS/ECS";"";"";"";"";"mega mix 3 royal amiga force";"Exact";"100";"megamix-3-royal-amiga-force";"C:\Work\First Realize\amiga-demo-database\jasdd\m\megamix-3-royal-amiga-force\screen_001.png";"megamix-3-royal-amiga-force"
"NoError";"2739272";"M\Melodies\Melodies.Slave";"Melodies ? 1994 Scoopex.";"0";"Melodies";"Melodies";"1994 by Scoopex";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Melodies";"OCS/ECS";"";"";"";"";"melodies by scoopex";"Best";"4,076672";"scoopex-melodies-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\scoopex-melodies-scoopex\screen_001.PNG";"scoopex-melodies-scoopex"
"NoError, EmulTrap";"1817549";"M\MemorialSongs\MemorialSongs.Slave";"Memorial Songs ? 1993 Alcatraz - 2 disks";"0";"MemorialSongs";"Memorial Songs";"1993 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MemorialSongs";"OCS/ECS";"";"";"";"";"memorial songs alcatraz";"Exact";"100";"memorial-songs-alcatraz";"C:\Work\First Realize\amiga-demo-database\jasdd\m\memorial-songs-alcatraz\screen_001.png";"memorial-songs-alcatraz"
"NoError";"918390";"M\MentalHangover\MentalHangover.Slave";"Mental Hangover ? 1990 Scoopex - 1 disk";"0";"MentalHangover";"Mental Hangover";"1990 Scoopex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MentalHangover";"OCS/ECS";"";"";"";"";"mental hangover scoopex";"Exact";"100";"mental-hangover-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mental-hangover-scoopex\screen_001.png";"mental-hangover-scoopex"
"NoError, EmulTrap, ClearMem";"1023949";"M\MerryMelodies\MerryMelodies.Slave";"Merry Melodies ? 1991 Relay.";"0";"MerryMelodies";"MerryMelodies Tunes";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MerryMelodies";"OCS/ECS";"";"";"";"";"merry melodies tunes relay";"Best";"4,030995";"merry-melodies-relay";"C:\Work\First Realize\amiga-demo-database\jasdd\m\merry-melodies-relay\screen_001.PNG";"merry-melodies-relay"
"Disk, NoError, EmulTrap";"333780";"M\Mesmerized\Mesmerized.Slave";"Mesmerized, ?1990 Pure Metal Coders";"0";"Mesmerized";"-< M E S M E R I Z E D >-";"1991 Pure Metal Coders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Mesmerized";"OCS/ECS";"";"";"";"";"mesmerized 1 pure metal coders";"Best";"6,25668";"mesmerized-pure-metal-coders";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mesmerized-pure-metal-coders\screen_001.PNG";"mesmerized-pure-metal-coders"
"Disk, NoError, EmulTrap";"916250";"M\Metal&Lace\Metal&Lace.Slave";"Metal & Lace ? 1993 Apocalypse Bay - 1 disk";"0";"Metal&Lace";"Metal & Lace ";"1993/94 Apocalypse Bay ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Metal&Lace";"OCS/ECS";"";"";"";"";"metal lace 94 apocalypse bay";"Best";"4,970592";"metal-lace-apocalypse-bay-inc";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\metal-lace-apocalypse-bay-inc\screen.jpg";"metal-lace-apocalypse-bay-inc"
"NoError, EmulTrap";"917077";"M\MetalMelissaThePisser\MetalMelissaThePisser.Slave";"Metal Melissa the Pisser ? 1991 Animators.";"0";"MetalMelissaThePisser";"Metal Melissa The Pisser";"1991 Animators";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MetalMelissaThePisser";"OCS/ECS";"";"";"";"";"metal melissa the pisser animators";"Exact";"100";"metal-melissa-the-pisser-animators";"C:\Work\First Realize\amiga-demo-database\jasdd\m\metal-melissa-the-pisser-animators\screen_001.png";"metal-melissa-the-pisser-animators"
"NoError, EmulTrap, ClearMem";"3123893";"M\MiamiViceTheme\MiamiViceTheme.slave";"Miami Vice Theme ? 1987 Swiss Cracking Association.";"0";"MiamiViceTheme";"Miami Vice Maxi Soundtrack";"1987 SCA";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiamiViceTheme";"OCS/ECS";"";"";"";"";"miami vice theme maxi soundtrack sca";"Best";"1,760489";"miami-vice-theme-swiss-cracking-association";"C:\Work\First Realize\amiga-demo-database\jasdd\m\miami-vice-theme-swiss-cracking-association\screen_001.png";"miami-vice-theme-swiss-cracking-association"
"Disk, NoError, EmulTrap";"931315";"M\MicroConcept\MicroConcept.slave";"Micro Concept ? 1990 Crusaders.";"0";"MicroConcept";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MicroConcept";"OCS/ECS";"";"";"";"";"mi cro con cept the crusaders";"Exact";"100";"mi-cro-con-cept-the-crusaders";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mi-cro-con-cept-the-crusaders\screen_001.PNG";"mi-cro-con-cept-the-crusaders"
"Disk, NoError, EmulTrap";"911004";"M\MinaOmistan\MinaOmistan.Slave";"Mina Omistan by Movement (c) 199? - 1 disk.";"0";"MinaOmistan";"Mina Omistan";"1993 Movement";"1933312";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MinaOmistan";"OCS/ECS";"";"";"";"";"mina omistan movement";"Exact";"100";"mina-omistan-movement";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mina-omistan-movement\screen.jpg";"mina-omistan-movement"
"NoError";"502459";"M\MindRiot\MindRiot.Slave";"Mindriot ? 1993 Andromeda - 1 disk";"0";"MindRiot";"Mindriot";"1993 Andromeda";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MindRiot";"OCS/ECS";"";"";"";"";"mind riot andromeda";"Exact";"100";"mindriot-andromeda";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mindriot-andromeda\screen.jpg";"mindriot-andromeda"
"NoError, ClearMem";"691195";"M\MiniMegademoDoom\MiniMegademoDoom.Slave";"Mini Megademo ? 1992 Doom.";"0";"MiniMegademoDoom";"Mini Megademo";"1992 Doom";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiniMegademoDoom";"OCS/ECS";"";"";"";"";"mini megademo doom";"Exact";"100";"mini-megademo-doom";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mini-megademo-doom\screen.jpg";"mini-megademo-doom"
"NoError, EmulTrap, ClearMem";"529047";"M\MiniSoundbox1\MiniSoundbox1.Slave";"Mini Soundbox 1 ? 1989 Shadow Light & Level 4.";"0";"MiniSoundbox1";"Mini Soundbox 1";"1989 Shadow Light&Level 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiniSoundbox1";"OCS/ECS";"";"";"";"";"mini soundbox 1 shadow light level 4";"Best";"6,606145";"mini-soundbox-i-shadow-light-level-4";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mini-soundbox-i-shadow-light-level-4\screen.jpg";"mini-soundbox-i-shadow-light-level-4"
"NoError, EmulTrap, ClearMem";"528222";"M\MiniSoundbox2\MiniSoundbox2.Slave";"Mini Soundbox 2 ? 1989 Shadow Light & Level 4.";"0";"MiniSoundbox2";"Mini Soundbox 2";"1989 Shadow Light&Level 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiniSoundbox2";"OCS/ECS";"";"";"";"";"mini soundbox ii shadow light level 4";"Exact";"100";"mini-soundbox-ii-shadow-light-level-4";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mini-soundbox-ii-shadow-light-level-4\screen.jpg";"mini-soundbox-ii-shadow-light-level-4"
"NoError, EmulTrap, ClearMem";"537400";"M\MiniSoundbox3\MiniSoundbox3.Slave";"Mini Soundbox 3 ? 1989 Shadow Light & Level 4.";"0";"MiniSoundbox3";"Mini Soundbox 3";"1989 Shadow Light&Level 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiniSoundbox3";"OCS/ECS";"";"";"";"";"mini soundbox 3 shadow light level 4";"Best";"5,661264";"mini-soundbox-iii-shadow-light-level-4";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\mini-soundbox-iii-shadow-light-level-4\screen.gif";"mini-soundbox-iii-shadow-light-level-4"
"NoError";"912674";"M\MiracleSounds1\MiracleSounds1.Slave";"Miracle Sounds 1 ? 1990.";"0";"MiracleSounds1";"Miracle Sounds 1";"1990 Miracle";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiracleSounds1";"OCS/ECS";"";"";"";"";"miracle sounds miracle";"Exact";"100";"miracle-sounds-miracle";"C:\Work\First Realize\amiga-demo-database\jasdd\m\miracle-sounds-miracle\screen_001.png";"miracle-sounds-miracle"
"NoError";"1533099";"M\Mirror\Mirror.Slave";"Mirror ? 1992 Andromeda - 2 disks";"0";"Mirror";"Mirror";"1992 Andromeda";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Mirror";"OCS/ECS";"";"";"";"";"mirror andromeda";"Exact";"100";"mirror-andromeda";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mirror-andromeda\screen_001.PNG";"mirror-andromeda"
"NoError, EmulTrap, ClearMem";"908828";"M\MiseryDentro2\MiseryDentro2.Slave";"Misery Dentro 2 ? 1993 TRSI";"0";"MiseryDentro2";"Misery Dentro 2";"1993 TRSI";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MiseryDentro2";"OCS/ECS";"";"";"";"";"misery dentro 2 trsi";"Best";"3,609023";"misery-dentro-preview-trsi";"C:\Work\First Realize\amiga-demo-database\jasdd\m\misery-dentro-preview-trsi\screen_001.png";"misery-dentro-preview-trsi"
"NoError, EmulTrap, ClearMem";"905767";"M\Mixolydian\Mixolydian.Slave";"Mixolydian ? 1991 End of Century 1999.";"0";"Mixolydian";"Mixolydian";"1991 End of Century 1999";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Mixolydian";"OCS/ECS";"";"";"";"";"mixolydian end of century";"Best";"5,654748";"mixolydian-musicdisk-1-end-of-century-1999";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mixolydian-musicdisk-1-end-of-century-1999\screen_001.PNG";"mixolydian-musicdisk-1-end-of-century-1999"
"Disk, NoError, EmulTrap";"912348";"M\MobileDestinationUnknown\MobileDestinationUnknown.slave";"Mobile - Destination Unknown ? 199? Spaceballs.";"0";"MobileDestinationUnknown";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MobileDestinationUnknown";"OCS/ECS";"";"";"";"";"mobile destination unknown";"Best";"5,925188";"mobile-destination-unknown-spaceballs";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mobile-destination-unknown-spaceballs\screen_001.PNG";"mobile-destination-unknown-spaceballs"
"NoError, EmulTrap, ClearMem";"121573";"M\MoinJungs\MoinJungs.Slave";"Moin Jungs ? 1988 Doctor Mabuse Orgasm Crackings.";"0";"MoinJungs";"Moin Jungs";"1988 Doctor Mabuse Orgasm Crackings";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MoinJungs";"OCS/ECS";"";"";"";"";"moin jungs doctor mabuse orgasm crackings";"Exact";"100";"moin-jungs-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\moin-jungs-doctor-mabuse-orgasm-crackings\screen.gif";"moin-jungs-doctor-mabuse-orgasm-crackings"
"NoError, EmulTrap, ClearMem";"919642";"M\Monoxide\Monoxide.Slave";"Monoxide ? 1992 Vanish.";"0";"Monoxide";"Monoxide";"1992 Vanish";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Monoxide";"OCS/ECS";"";"";"";"";"monoxide vanish";"Exact";"100";"monoxide-vanish";"C:\Work\First Realize\amiga-demo-database\jasdd\m\monoxide-vanish\screen_001.PNG";"monoxide-vanish"
"NoError, EmulTrap, ClearMem";"1322930";"M\MorbidVisions\MorbidVisions.Slave";"Morbid Visions 1992 Cyberiad.";"0";"MorbidVisions";"Morbid Visions";"1992 Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions";"OCS/ECS";"";"";"";"";"morbid visions cyberiad";"Exact";"100";"morbid-visions-cyberiad";"C:\Work\First Realize\amiga-demo-database\jasdd\m\morbid-visions-cyberiad\screen_001.png";"morbid-visions-cyberiad"
"NoError, EmulTrap, ClearMem";"603319";"M\MorbidVisions2\MorbidVisions2.Slave";"Morbid Visions 2 1993 Carillon & Cyberiad.";"0";"MorbidVisions2";"Morbid Visions 2";"1993 Carillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions2";"OCS/ECS";"";"";"";"";"morbid visions 2 carillon cyberiad";"Best";"5,859914";"morbid-visions-ii-carillon-cyberiad";"C:\Work\First Realize\amiga-demo-database\jasdd\m\morbid-visions-ii-carillon-cyberiad\screen_001.png";"morbid-visions-ii-carillon-cyberiad"
"NoError, EmulTrap, ClearMem";"450351";"M\MorbidVisions3\MorbidVisions3.Slave";"Morbid Visions 3 1994 Carillon, Cyberiad & Complex.";"0";"MorbidVisions3";"Morbid Visions 3";"1994 Carillon, Cyberiad & Complex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MorbidVisions3";"OCS/ECS";"";"";"";"";"morbid visions 3 carillon cyberiad complex";"Exact";"100";"morbid-visions-3-carillon-cyberiad-complex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\morbid-visions-3-carillon-cyberiad-complex\screen.jpg";"morbid-visions-3-carillon-cyberiad-complex"
"NoError, EmulTrap, ClearMem";"922610";"M\MoreThanMusic\MoreThanMusic.Slave";"More Than Music ? 1991 Alcatraz";"0";"MoreThanMusic";"More Than Music";"1991 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MoreThanMusic";"OCS/ECS";"";"";"";"";"more than music alcatraz";"Exact";"100";"more-than-music-alcatraz";"C:\Work\First Realize\amiga-demo-database\jasdd\m\more-than-music-alcatraz\screen_001.png";"more-than-music-alcatraz"
"Disk, NoError, Req68020, ReqAGA";"1814010";"M\Motion\Motion.slave";"Motion ? 1994 Bomb.";"0";"Motion";"";"";"2080768";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Motion";"AGA";"";"";"";"";"motion origin 2 bomb";"Exact";"100";"motion-origin-2-bomb";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\motion-origin-2-bomb\screen.jpg";"motion-origin-2-bomb"
"NoError, EmulTrap, ReqAGA, ClearMem";"457840";"M\MrMonkey\MrMonkey.Slave";"Mr. Monkey ? 1994 Rebels.";"0";"MrMonkey";"Mr. Monkey";"1994 Rebels";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MrMonkey";"AGA";"";"";"";"";"mr monkey rebels";"Exact";"100";"mr-monkey-rebels";"C:\Work\First Realize\amiga-demo-database\jasdd\m\mr-monkey-rebels\screen_001.PNG";"mr-monkey-rebels"
"Disk, NoError";"909230";"M\Multica\Multica.slave";"Multica ? 1992 Andromeda.";"0";"Multica";"Multica";"1992 Andromeda";"520192";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Multica";"OCS/ECS";"";"";"";"";"multica andromeda";"Exact";"100";"multica-andromeda";"C:\Work\First Realize\amiga-demo-database\jasdd\m\multica-andromeda\screen_001.png";"multica-andromeda"
"NoError, EmulTrap, ClearMem";"128923";"M\Multidemo\Multidemo.Slave";"Multidemo ? 1990 Amaze.";"0";"Multidemo";"Multidemo";"1990 Amaze";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Multidemo";"OCS/ECS";"";"";"";"";"multidemo amaze";"Exact";"100";"multi-demo-amaze";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\multi-demo-amaze\screen.gif";"multi-demo-amaze"
"Disk, NoError";"910394";"M\MultiMegamix\MultiMegamix.slave";"Multi Megamix ? 1991 Kefrens (1 disk)";"0";"MultiMegamix";"Multi Megamix";"1991 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix";"OCS/ECS";"";"";"";"";"multi megamix kefrens";"Exact";"100";"multi-megamix-kefrens";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\multi-megamix-kefrens\screen.jpg";"multi-megamix-kefrens"
"Disk, NoError, ClearMem";"912253";"M\MultiMegamix2\MultiMegamix2.slave";"Multi Megamix II ? 1992 Kefrens (1 disk)";"0";"MultiMegamix2";"Multi Megamix II";"1992 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix2";"OCS/ECS";"";"";"";"";"multi megamix 2 kefrens";"Exact";"100";"multi-megamix-2-kefrens";"C:\Work\First Realize\amiga-demo-database\jasdd\m\multi-megamix-2-kefrens\screen_001.PNG";"multi-megamix-2-kefrens"
"NoError, ClearMem";"922685";"M\MultiMegamix3\MultiMegamix3.Slave";"MultiMegamix III ? 1992 Kefrens";"0";"MultiMegamix3";"Multi Megamix III";"1992 Kefrens";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MultiMegamix3";"OCS/ECS";"";"";"";"";"multi megamix 3 kefrens";"Exact";"100";"multi-megamix-3-kefrens";"C:\Work\First Realize\amiga-demo-database\jasdd\m\multi-megamix-3-kefrens\screen_001.PNG";"multi-megamix-3-kefrens"
"NoError, EmulTrap, ClearMem";"921261";"M\Museum\Museum.Slave";"Museum ? 1992 Alcatraz.";"0";"Museum";"Museum";"1992 Alcatraz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Museum";"OCS/ECS";"";"";"";"";"museum alcatraz";"Exact";"100";"museum-alcatraz";"C:\Work\First Realize\amiga-demo-database\jasdd\m\museum-alcatraz\screen_001.PNG";"museum-alcatraz"
"NoError, EmulTrap, ClearMem";"466340";"M\MusicalRabbit\MusicalRabbit.Slave";"Musical Rabbit ? 1993 Carrillon & Cyberiad.";"0";"MusicalRabbit";"Muscial Rabbit";"1993 Carrillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicalRabbit";"OCS/ECS";"";"";"";"";"musical rabbit muscial carrillon cyberiad";"Best";"2,360728";"musical-rabbit-carillon-cyberiad";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\musical-rabbit-carillon-cyberiad\screen.png";"musical-rabbit-carillon-cyberiad"
"NoError, EmulTrap, ClearMem";"841399";"M\Musication\Musication.slave";"Musication ? 1992 Absolute!.";"0";"Musication";"Musication";"1992 Absolute!";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Musication";"OCS/ECS";"";"";"";"";"musication absolute";"Best";"6,911832";"musication-vol1-absolute";"C:\Work\First Realize\amiga-demo-database\jasdd\m\musication-vol1-absolute\screen_001.PNG";"musication-vol1-absolute"
"NoError, EmulTrap, ClearMem";"883377";"M\Musicbox3\Musicbox3.Slave";"Musicbox 3 ? 1991 Gate.";"0";"Musicbox3";"Musicbox 3";"1991 Gate";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Musicbox3";"OCS/ECS";"";"";"";"";"musicbox 3 gate";"Exact";"100";"musicbox-3-gate";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\musicbox-3-gate\screen.png";"musicbox-3-gate"
"NoError, EmulTrap, ClearMem";"1105707";"M\MusicBoxCopyride\MusicBoxCopyride.Slave";"Music Box ? 1991 Copyride.";"0";"MusicBoxCopyride";"Music Box";"1991 Copyride";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicBoxCopyride";"OCS/ECS";"";"";"";"";"music box copyride";"Exact";"100";"music-box-copyride";"C:\Work\First Realize\amiga-demo-database\jasdd\m\music-box-copyride\screen_001.png";"music-box-copyride"
"NoError, EmulTrap, ClearMem";"1820533";"M\MusicCollection\MusicCollection.Slave";"Music Collection 1991 Katharsis.";"0";"MusicCollection";"Music Collection";"1991 Katharsis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCollection";"OCS/ECS";"";"";"";"";"music collection katharsis";"Exact";"100";"music-collection-katharsis";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\music-collection-katharsis\screen_001.png";"music-collection-katharsis"
"NoError, EmulTrap, ClearMem";"921295";"M\MusicCompacting2\MusicCompacting2.Slave";"Music Compacting 2 ? 1991 Zylon & Alpha Flight.";"0";"MusicCompacting2";"Music Compacting 2";"1991 Zylon & Alpha Flight";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCompacting2";"OCS/ECS";"";"";"";"";"music compacting 2 zylon alpha flight";"Best";"4,918753";"music-compacting-2-alpha-flight-1970-zylon";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\music-compacting-2-alpha-flight-1970-zylon\screen.gif";"music-compacting-2-alpha-flight-1970-zylon"
"NoError, EmulTrap, ClearMem";"793797";"M\MusicCompilation\MusicCompilation.Slave";"Music Compilation ? 1989 Random Access.";"0";"MusicCompilation";"Music Compilation ";"1989 Random Access";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicCompilation";"OCS/ECS";"";"";"";"";"music compilation random access";"Exact";"100";"music-compilation-random-access";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\music-compilation-random-access\screen.png";"music-compilation-random-access"
"NoError, EmulTrap, ClearMem";"919051";"M\MusicDemoDeform\MusicDemoDeform.Slave";"Music Demo ? 1992 Deform.";"0";"MusicDemoDeform";"Music Demo";"1992 Deform";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDemoDeform";"OCS/ECS";"";"";"";"";"music demo deform";"Exact";"100";"music-demo-deform";"C:\Work\First Realize\amiga-demo-database\jasdd\m\music-demo-deform\screen_001.png";"music-demo-deform"
"NoError, EmulTrap, ClearMem";"1627280";"M\MusicDisk1\MusicDisk1.Slave";"Music Disk ? 1990 The Fantasy Force.";"0";"MusicDisk1";"Music Disk";"1990 The Fantasy Force";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"MusicDisk1";"OCS/ECS";"";"";"";"";"musicdisk 1 royal amiga force";"Exact";"100";"musicdisk-1-royal-amiga-force";"C:\Work\First Realize\amiga-demo-database\jasdd\m\musicdisk-1-royal-amiga-force\screen_001.png";"musicdisk-1-royal-amiga-force"
