ArchiveFile;SlaveFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
Bagitman.lha;Bagitman.slave;Bagitman;1992 Bignonia;1072;10;NoKbd;524288;0;59;131072
BalanceOfPower.lha;BalanceOfPower.slave;Balance Of Power: Geopolitics in the Nuclear Age;1987 Mindscape;6084;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;303104
Ballistix.lha;ballistix.slave;Ballistix ;1989 Psyclapse/Reflexions ;3724;17;NoError, EmulTrap, ClearMem;524288;5f;5d;0
BallRaider.lha;BallRaider.slave;Ball Raider;1987 Diamond;4752;17;NoError, EmulPriv, ClearMem, Examine;524288;0;59;327680
BanditKings.lha;BanditKings.slave;Bandit Kings Of Ancient China;1990 Infogrames;4544;17;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;786432
BaneOfCosmicForge.lha;Wizardry6.slave;Wizardry VI: Bane of Cosmic Forge;1990 Sir-Tech;3700;16;NoError, EmulPriv, Examine;524288;0;59;786432
BangkokKnights.lha;BangkokKnights.slave;;;476;7;Disk, NoError, EmulTrap;524288;0;5d;
Banshee.lha;Banshee.slave;Banshee AGA/CD??;1992 Core Design;8280;16;NoError, Req68020, ReqAGA, NoKbd, EmulPriv, Examine;2093056;0;5d;1048576
Banzai.lha;Banzai.slave;Banzai;1989 Swedish Software;2280;17;NoError, EmulTrap, ClearMem;524288;0;59;0
Barbarian2Palace.lha;Barbarian2Palace.slave;BARBARIAN II;1989 Palace Software;1540;10;NoError, EmulTrap, NoDivZero, ClearMem;1048576;0;5d;0
Barbarian2Psy.lha;Barbarian2Psy.slave;Barbarian 2;1991 Psygnosis;2412;10;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;0
