"Priority";"Name";"File";"Keywords"
"2";"DrFruit";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DrFruit\igame.iff";"dr fruit"
"2";"Dugger";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\Dugger\igame.iff";"dugger"
"2";"DynastyWars";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\D\DynastyWars\igame.iff";"dynasty wars"
"2";"EaglesRider";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EaglesRider\igame.iff";"eagles rider"
"2";"Ebonstar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Ebonstar\igame.iff";"ebonstar"
"2";"EliteAdvanced";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EliteAdvanced\igame.iff";"elite advanced"
"2";"EmeraldMine";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine\igame.iff";"emerald mine"
"2";"EmeraldMine2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine2\igame.iff";"emerald mine 2"
"2";"EmeraldMine3";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EmeraldMine3\igame.iff";"emerald mine 3"
"2";"Enemy(EasyPlay)";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enemy(EasyPlay)\igame.iff";"enemy easy play"
"2";"Enemy2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enemy2\igame.iff";"enemy 2"
"2";"EnemyTempestOfViolence";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\EnemyTempestOfViolence\igame.iff";"enemy tempest of violence"
"2";"Enforcer";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Enforcer\igame.iff";"enforcer"
"2";"Epic&MissionDisk";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\Epic&MissionDisk\igame.iff";"epic mission disk"
"2";"ESWAT";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\E\ESWAT\igame.iff";"eswat"
"2";"F19StealthFighter";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\F19StealthFighter\igame.iff";"f 19 stealth fighter"
"2";"FaceOff";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FaceOff\igame.iff";"face off"
"2";"FantasticDIZZY";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\F\FantasticDIZZY\igame.iff";"fantastic dizzy"
